latitude,longitude,name
50.53121,-3.877545,Combestone Tor
50.532796,-4.406648,Manor House Inn
50.5336,-4.8412,Trewornan Bridge
50.538966,-2.429187,St Andrews Church Ruins
50.540839,-4.938249,The White Hart
50.542134,-4.937811,Abbey House
50.542158,-4.549248,Dozmary Pool
50.54263,-4.945824,Prideaux Place
50.543839,-3.990518,The Plume Of Feathers Pub
50.544836,-3.992639,Prince Of Wales Hotel
50.549036,-4.145298,Betsy Grimbals Tower
50.549201,-4.144709,Bedford Hotel
50.549659,-4.144979,Tavistock Abbey Ruins and Churchyard
50.549722,-4.059167,Vixen Tor
50.549722,-3.996111,Dartmoor Prison
50.549938,-4.144454,Bedford Square
50.555633,-2.441397,The Heights Hotel
50.557987,-3.965329,Two Bridges Hotel
50.558073,-2.433073,High Angle Battery
50.562244,-4.566765,The Jamaica Inn
50.564287,-4.688339,The Old Inn
50.567754,-3.958945,Crockern Tor
50.56822,-2.446723,Portland Castle
50.571166,-3.778716,Hemsworthy Gate
50.572638,-4.145535,Kilworthy House
50.573941,-4.031058,Crocken Tor
50.5747,-3.5208,Lidwell Chapel
50.575709,-1.297768,St Catherines Lighthouse
50.576682,-3.812016,The Old Inn
50.579235,-1.291234,The Buddle Smugglers Inn
50.581465,-3.736846,The Rock Inn
50.584641,-4.0675230000000004,John Stephens Grave
50.589324,-1.227986,Ventnor Botanic Gardens
50.591732,-3.67614,Bovey Bridge
50.594119,-1.211677,Royal Hotel
50.594386,-3.911249,East Dart Bridge
50.595003,-3.909861,East Dart Hotel
50.595349,-1.205733,The Blenheim
50.596655,-1.317887,Wight Mouse Inn
50.596842,-4.516988,Wesleys Cottage
50.598079,-1.194118,Madeira Hall
50.599249,-4.508852,The Kings Head
50.604191,-2.451144,Newtons Cove
50.60509,-3.79269,Kitty Jays Grave
50.605123,-4.512969,Penhallow Manor
50.605658,-2.452851,Brewers Quay
50.605989,-2.452276,Weymouth Alleyway
50.606276,-2.4529,The Old Rooms Inn
50.6062,-4.63113,Rough Tor
50.606386,-2.453437,Loco Lobo Tex Mex
50.60644,-2.450346,Weymouth Peace Garden
50.606444,-2.455995,Chapelhay Steps
50.606653,-2.45872,The Boot Inn
50.606748,-2.447021,Nothe Gardens
50.607281,-2.455475,Town Bridge
50.607443,-2.443863,Nothe Fort
50.607453,-2.453486,Helen Lane
50.607856,-2.454676,The Golden Lion
50.608874,-2.453251,Bibis Boutique
50.60888,-2.452779,The Cutter Hotel
50.609588,-4.066147,Coffin Wood
50.609886,-2.455437,White Hart Inn
50.609987,-2.455987,New Bond Street
50.610106,-2.453468,Wiggles
50.61061,-3.77932,Bowermans Nose
50.610778,-4.116833,Gibbet Hill
50.610997,-2.45352,The Black Dog Inn
50.611897,-2.454135,Tom and Erins Gift Shop
50.612575,-2.453843,Tom and Erins Cafe and Ice Cream Parlour
50.612996,-2.4547,Stones Throw Guesthouse
50.61303,-3.853826,Chaw Gully
50.613989,-2.454933,Duke of Albany
50.616359,-2.062225,The Scott Arms
50.616903,-1.23368,Appuldurcombe House
50.618025,-2.195758,Worbarrow Bay
50.618198,-2.247017,Lulworth Cove
50.6181,-1.2341,Appuldurcombe Lodge
50.619518,-2.42318,Weymouth Bay
50.620853,-1.275013,Rose Cottage
50.62221,-2.234653,Bindon Hill
50.624729,-2.194074,Flowers Barrow Fort
50.625731,-1.178133,The Crab Inn
50.626934,-1.178961,Vernon Cottage Restaurant
50.627287,-1.179347,Paramount Cafe
50.628096,-3.753118,Hunters Tor
50.629233,-3.61982,Cridford Inn
50.634505,-3.845247,Green Combe
50.634765,-2.375103,The Smugglers
50.637013,-1.3697,Mill Lane
50.6375,-4.3586,Dockacre House
50.639125,-2.208754,Lulworth Castle
50.640422,-2.058822,Corfe Castle
50.640567,-2.546412,The Elm Tree Inn
50.643003,-3.460577,Powderham Castle
50.643651,-4.109357,Lydford Castle
50.643699,-4.108891,The Castle Inn
50.646523,-2.41837,The Spice Ship
50.646596,-4.633059,Davidstow Airfield and Cornwall at War Museum
50.647841,-4.090867,The Dartmoor Inn
50.653147,-1.400146,Old Rock Cottage
50.653842,-4.181595,Lewtrenchard Manor House
50.654211,-4.183928,St Peters Church
50.655357,-3.977409,Cranmere Pool
50.659361,-1.287732,Pidford Manor
50.662924,-4.749548,King Arthurs Great Halls
50.66414,-4.753322,Wootons Country Hotel
50.665,-1.2081,Veniscombe House
50.666111,-2.600316,Ilchester Arms
50.666534,-4.738361,Bossiney Methodist Chapel
50.667395,-4.758505,Tintagel Castle
50.667921,-2.46448,Bincombe Tunnel
50.668176,-4.755484,Camelot Castle Hotel
50.6683,-4.7594,Merlins Cave
50.668454,-1.22717,Haseley Manor
50.670328,-1.511876,Albion Hotel
50.67117,-1.210202,Old School House
50.671912,-4.7241,St Nectans Kieve
50.672314,-1.515541,Dimbola Museum
50.67237,-3.839596,The Globe Inn
50.672682,-3.840195,Three Crowns Hotel
50.672699,-3.83903,St Michaels Church
50.673043,-1.152778,Brading Roman Villa
50.67352,-1.194786,Lower Knighton Farm
50.6741,-1.524,Farringford House
50.678233,-1.246561,Arreton Manor
50.680468,-2.208094,Bindon Abbey ruins
50.680758,-1.945022,Poole Harbour
50.680825,-1.200707,Gateway to Knighton Gorges Mansion
50.680916,-4.084473,The Bearslake Inn
50.682724,-3.465819,St Margarets Church
50.683352,-3.881734,Gidleigh Bridge
50.683951,-4.691231,The Napoleon
50.687468,-1.313254,Carisbrooke Castle
50.68834,-1.95826,Brownsea Castle
50.689153,-2.339198,Warmwell Holiday Park
50.689184,-4.692959,The Wellington Hotel
50.689376,-1.521657,Golden Hill Fort
50.691471,-3.878772,Northmore Arms
50.6917,-3.8779,Wonson Manor
50.693478,-1.305439,Rock Cottage
50.694255,-4.076191,The Highwayman Inn
50.694303,-2.243405,The Tank Museum
50.695113,-2.469948,Maiden Castle
50.698097,-3.304265,Southern Cross Guesthouse
50.698641,-1.296198,Purple Dreams
50.698846,-1.295356,Starbucks
50.698982,-1.298119,79 High Street
50.699534,-1.292594,Chantry House
50.699653,-1.293424,Gods Providence
50.700382,-1.922675,Cliff Drive
50.700524,-1.292127,Swinton Insurance
50.70087,-1.2940719999999999,Andrew Ross
50.701183,-1.293782,Walled Garden Cafe
50.70213,-3.84094,The Spinsters Rocks
50.702684,-1.286951,Newport Job Centre
50.704034,-3.842232,Bradford Pool
50.704155,-2.607487,Kingston Russell
50.704376,-1.924322,Loch Fyne Seafood and Grill Restaurant
50.704975,-1.291877,Odessa Shipyard
50.706145,-1.920659,Canford Cliffs Village Hall
50.707037,-3.555341,Twisted Oak Tree
50.708022,-2.440234,Maumbury Rings
50.708187,-2.419998,Max Gate
50.709177,-2.422611,The Trumpet Major
50.709376,-3.546573,Cowick Barton Inn
50.709446,-1.106014,Priory Bay Hotel
50.710205,-2.445872,The Victoria Hotel
