year,sex,name,n,rank,nation
1996,F,Catherine,880,68,England & Wales
1996,M,Ross,1004,68,England & Wales
1996,F,Rosie,879,69,England & Wales
1996,M,Jason,1001,69,England & Wales
1996,F,Aimee,876,70,England & Wales
1996,M,Elliot,919,70,England & Wales
1996,F,Daisy,828,71,England & Wales
1996,M,Billy,914,71,England & Wales
1996,F,Bethan,825,72,England & Wales
1996,M,Paul,898,72,England & Wales
1996,F,Kimberley,799,73,England & Wales
1996,M,Steven,877,73,England & Wales
1996,F,Kelly,789,74,England & Wales
1996,M,Shane,846,74,England & Wales
1996,F,Naomi,766,75,England & Wales
1996,M,Joel,793,75,England & Wales
1996,F,Sian,731,76,England & Wales
1996,M,Shaun,773,76,England & Wales
1996,F,Rachael,721,77,England & Wales
1996,M,Toby,761,77,England & Wales
1996,F,Heather,713,78,England & Wales
1996,M,Curtis,757,78,England & Wales
1996,F,Demi,689,79,England & Wales
1996,M,Mitchell,725,79,England & Wales
1996,F,Robyn,683,80,England & Wales
1996,M,Dean,719,80,England & Wales
1996,F,Mollie,667,81,England & Wales
1996,M,Craig,705,81,England & Wales
1996,F,Yasmin,661,82,England & Wales
1996,M,Timothy,691,82,England & Wales
1996,F,Beth,656,83,England & Wales
1996,M,Aidan,680,83,England & Wales
1996,M,Declan,680,83,England & Wales
1996,F,Rhiannon,654,84,England & Wales
1996,F,Lily,651,85,England & Wales
1996,M,Marcus,674,85,England & Wales
1996,F,Kathryn,635,86,England & Wales
1996,M,Harrison,663,86,England & Wales
1996,F,Nicola,629,87,England & Wales
1996,M,Simon,656,87,England & Wales
1996,F,Leanne,616,88,England & Wales
1996,M,Elliott,645,88,England & Wales
1996,F,Chantelle,609,89,England & Wales
1996,M,Jay,639,89,England & Wales
1996,F,Claire,564,90,England & Wales
1996,M,Christian,627,90,England & Wales
1996,F,Imogen,555,91,England & Wales
1996,M,Calum,614,91,England & Wales
1996,F,Poppy,537,92,England & Wales
1996,M,Ethan,604,92,England & Wales
1996,F,Madeleine,536,93,England & Wales
1996,M,Rory,601,93,England & Wales
1996,F,Isobel,522,94,England & Wales
1996,M,Josh,595,94,England & Wales
1996,F,Sophia,516,95,England & Wales
1996,M,Macauley,577,95,England & Wales
1996,F,Maria,511,96,England & Wales
1996,M,Zachary,574,96,England & Wales
1996,F,Stacey,509,97,England & Wales
1996,M,Mohammad,567,97,England & Wales
1996,F,Alicia,504,98,England & Wales
1996,M,Danny,565,98,England & Wales
1996,F,Gabrielle,501,99,England & Wales
1996,M,Kane,545,99,England & Wales
1996,F,Erin,486,100,England & Wales
1996,M,Owen,536,100,England & Wales
1997,F,Chloe,7745,1,England & Wales
1997,M,Jack,10145,1,England & Wales
1997,F,Emily,6616,2,England & Wales
1997,M,James,9853,2,England & Wales
1997,F,Sophie,6311,3,England & Wales
1997,M,Thomas,9479,3,England & Wales
1997,F,Jessica,6090,4,England & Wales
1997,M,Daniel,9047,4,England & Wales
1997,F,Megan,5724,5,England & Wales
1997,M,Joshua,7698,5,England & Wales
1997,F,Hannah,5581,6,England & Wales
1997,M,Matthew,7443,6,England & Wales
1997,F,Charlotte,5531,7,England & Wales
1997,M,Samuel,6367,7,England & Wales
1997,F,Lauren,5529,8,England & Wales
1997,M,Joseph,5809,8,England & Wales
1997,F,Rebecca,5514,9,England & Wales
1997,M,Ryan,5631,9,England & Wales
1997,F,Georgia,4908,10,England & Wales
1997,M,Jordan,5404,10,England & Wales
1997,F,Amy,4666,11,England & Wales
1997,M,Luke,5147,11,England & Wales
1997,F,Lucy,4235,12,England & Wales
1997,M,Connor,4890,12,England & Wales
1997,F,Emma,4126,13,England & Wales
1997,M,Benjamin,4782,13,England & Wales
1997,F,Bethany,4074,14,England & Wales
1997,M,Callum,4746,14,England & Wales
1997,F,Katie,3864,15,England & Wales
1997,M,Liam,4743,15,England & Wales
1997,F,Shannon,3640,16,England & Wales
1997,M,Alexander,4698,16,England & Wales
1997,F,Laura,2937,17,England & Wales
1997,M,Harry,4631,17,England & Wales
1997,F,Courtney,2812,18,England & Wales
1997,M,George,4586,18,England & Wales
1997,F,Olivia,2789,19,England & Wales
1997,M,William,4499,19,England & Wales
1997,F,Eleanor,2747,20,England & Wales
1997,M,Adam,4202,20,England & Wales
1997,F,Molly,2628,21,England & Wales
1997,M,Lewis,4065,21,England & Wales
1997,F,Sarah,2613,22,England & Wales
1997,M,Jake,3945,22,England & Wales
1997,F,Holly,2584,23,England & Wales
1997,M,Michael,3704,23,England & Wales
1997,F,Abigail,2570,24,England & Wales
1997,M,Oliver,3647,24,England & Wales
1997,F,Jade,2538,25,England & Wales
1997,M,Nathan,2983,25,England & Wales
1997,F,Alice,2259,26,England & Wales
1997,M,Christopher,2939,26,England & Wales
1997,F,Ellie,2202,27,England & Wales
1997,M,Kieran,2753,27,England & Wales
1997,F,Rachel,2120,28,England & Wales
1997,M,Bradley,2745,28,England & Wales
1997,F,Danielle,2069,29,England & Wales
1997,M,Jacob,2590,29,England & Wales
1997,F,Elizabeth,1892,30,England & Wales
1997,M,Ben,2572,30,England & Wales
1997,F,Zoe,1784,31,England & Wales
1997,M,Jamie,2540,31,England & Wales
1997,F,Paige,1703,32,England & Wales
1997,M,Aaron,2497,32,England & Wales
1997,F,Georgina,1700,33,England & Wales
1997,M,Mohammed,2390,33,England & Wales
1997,F,Victoria,1650,34,England & Wales
1997,M,Robert,2281,34,England & Wales
1997,F,Chelsea,1649,35,England & Wales
1997,M,David,2237,35,England & Wales
1997,F,Leah,1605,36,England & Wales
1997,M,Cameron,2231,36,England & Wales
1997,F,Nicole,1569,37,England & Wales
1997,M,Andrew,2220,37,England & Wales
1997,F,Samantha,1552,38,England & Wales
1997,M,Kyle,2205,38,England & Wales
1997,F,Natasha,1500,39,England & Wales
1997,M,Brandon,2184,39,England & Wales
1997,F,Amber,1490,40,England & Wales
1997,F,Anna,1490,40,England & Wales
1997,M,Charlie,2161,40,England & Wales
1997,M,Reece,1780,41,England & Wales
1997,F,Grace,1440,42,England & Wales
1997,M,Charles,1762,42,England & Wales
1997,F,Alexandra,1381,43,England & Wales
1997,M,Alex,1747,43,England & Wales
1997,F,Ella,1300,44,England & Wales
1997,M,Edward,1711,44,England & Wales
1997,F,Louise,1283,45,England & Wales
1997,M,Jonathan,1690,45,England & Wales
1997,F,Caitlin,1215,46,England & Wales
1997,M,Ashley,1660,46,England & Wales
1997,F,Melissa,1180,47,England & Wales
1997,M,Sam,1562,47,England & Wales
1997,F,Jasmine,1154,48,England & Wales
1997,M,Joe,1454,48,England & Wales
1997,F,Amelia,1145,49,England & Wales
1997,M,John,1439,49,England & Wales
